id_cap_nhat;ten_tai_san;thong_tin_tai_san;ngay_cap_nhat
1;thunderous;../fake-data/blob/hipster.txt;2024-09-27
2;discrete pushy rotten;../fake-data/blob/hipster.txt;2024-09-28
3;halloo little;../fake-data/blob/hipster.txt;2024-09-27
4;than yesterday;../fake-data/blob/hipster.txt;2024-09-28
5;illiterate huzzah ride;../fake-data/blob/hipster.txt;2024-09-27
6;unlike vicious certainly;../fake-data/blob/hipster.txt;2024-09-28
7;naturally;../fake-data/blob/hipster.txt;2024-09-28
8;ouch throughout hyena;../fake-data/blob/hipster.txt;2024-09-27
9;deck trellis ick;../fake-data/blob/hipster.txt;2024-09-28
10;attractive;../fake-data/blob/hipster.txt;2024-09-27
